Name,ID,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2tBuDPAN,OPS48,-0.542387556,-1.218548476,-1.367236114,0.544886629,-2.295536608,1.109351928,3.407707843,-1.918013178,0.983932113,-2.076458704,0.830809721,-1.397234413,1,0,0,0,22
2MeDPAN,OPS49,-0.720293985,-1.383008124,-0.828517637,0.756851898,-1.480606287,1.170831751,2.02521755,-0.61160211,1.1621076,-0.992953625,-0.085796253,-0.896559211,1,0,0,0,12
2DPAA,OPS50,-1.074260265,-1.592238759,-0.796276505,0.753778981,-1.087309841,1.705421542,0.234025214,0.651762836,1.300039129,-0.552701976,0.073653086,-0.778637977,1,0,0,0,43
2tBuDPAA,OPS51,-0.542387556,-1.218548476,-1.367236114,0.544886629,-2.295536608,1.109351928,3.407707843,-1.918013178,0.983932113,-2.076458704,0.830809721,-1.397234413,1,0,0,0,28
2MeDPAA,OPS52,-0.720293985,-1.383008124,-0.828517637,0.756851898,-1.480606287,1.170831751,2.02521755,-0.61160211,1.1621076,-0.992953625,-0.085796253,-0.896559211,1,0,0,0,34
2OMeDPAA,OPS53,-2.307176561,0.588005452,2.770819756,0.208064181,0.74679392,-2.801305223,5.216063122,-1.431319916,-0.185111538,3.207548105,-2.152465036,-1.458081218,1,0,0,0,1
3CzNB,OPS54,3.487702467,1.802878286,-5.634014346,6.306107631,9.978208686,-3.873174785,-3.308040115,-2.516538196,0.246240274,-1.762038234,-0.483904775,0.543878711,1,0,0,0,0
3DPANB,OPS55,2.374617157,2.433082083,-5.481117002,9.890691551,8.639792613,-1.11177389,-1.293767205,-1.186297937,1.715401237,-0.40587138,0.285875235,-0.152235988,1,0,0,0,0
3MeDPANB,OPS56,2.728583437,2.642312718,-5.513358134,9.893764469,8.246496167,-1.646363682,0.497425131,-2.449662883,1.577469708,-0.846123029,0.126425896,-0.270157221,1,0,0,0,0
3BrDPANB,OPS57,3.266627028,2.271824389,-5.828888901,9.984410685,9.104182652,-0.272100626,-1.511057408,0.773245649,0.641275215,2.164640381,-0.044737043,0.009254318,1,0,0,0,9
2CzAQ,OPS58,-1.073113696,-0.621032072,0.491458798,-1.879575059,1.096925081,-2.028448973,-0.380341345,1.014955609,-0.300492914,-0.445240529,-1.544935523,0.01050427,1,0,0,0,0
2DPAAQ,OPS59,-2.077052352,-0.001257654,0.96389825,1.034458331,-0.040207817,0.291713958,1.18290488,2.004256458,1.082118228,0.184638342,-1.278319281,-1.392910535,1,0,0,0,0
2DPASF,OPS60,-2.92166619,10.35880896,-6.478068538,4.233683643,-8.39166218,-3.573847061,-2.246131489,1.626175631,-2.160458751,1.27911542,0.037343942,0.403815336,1,0,0,0,0
2tBuDPASF,OPS61,-2.581258137,10.50282748,-6.900810592,4.114558514,-9.27621066,-4.123670968,0.653041762,-0.652128635,-2.426124328,-0.030478874,0.589762174,0.019783346,1,0,0,0,21
2MeDPASF,OPS62,-2.56769991,10.5680396,-6.51030967,4.23675656,-8.784958626,-4.108436852,-0.454939153,0.362810685,-2.29839028,0.838863771,-0.122105396,0.285894103,1,0,0,0,13
CF3PhDPZ,OPS63,1.444429547,-1.447748345,-1.077964121,-2.109685186,-0.206694835,0.513716251,-1.415088652,0.659503058,0.89719056,1.038498236,-0.154717646,-2.355058608,1,0,0,0,3
OMePhDPZ,OPS64,-1.552919543,-0.342858833,1.696876554,-1.90151624,1.743180948,-3.094157508,2.02091451,-2.583707202,-0.224439769,3.156765927,-2.028031665,-1.198882905,1,0,0,0,0
NapDPZ,OPS65,-0.512041654,-1.944866401,-1.154201314,-1.663099967,0.26712354,-0.150381199,-1.550214029,-0.143409431,0.965017699,-0.655418042,0.237885041,-0.522246028,1,0,0,0,0
3DPA2FBN,OPS66,0.715905086,-1.699897008,-1.71457064,0.706163745,-0.187521114,2.987863219,0.548164687,3.24713369,-1.232888568,1.913459636,0.107380628,-1.125394663,1,0,0,0,46
