Name,ID,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2DPAA,OPS50,-3.18667775,-0.700942844,-11.26553843,-4.894770246,-5.298136403,-3.080809142,7.547234192,4.091615425,-2.174516772,1,0,0,0,43
2tBuDPAA,OPS51,17.82737431,23.41299998,-0.362389473,1.739432155,0.844339773,-2.085980429,-1.288160455,1.938301822,-1.068852929,1,0,0,0,28
2MeDPAA,OPS52,2.567488678,6.317601439,-5.667495182,-2.116567961,-4.817210068,-5.920644554,6.197187813,2.075271571,-1.586382276,1,0,0,0,34
2OMeDPAA,OPS53,4.670658039,-0.686607922,-0.156048402,2.969253777,-8.7610897,1.289636672,7.32020344,-7.230376648,9.586612797,1,0,0,0,1
3CzNB,OPS54,7.996363294,-11.62467503,-0.30098733,-8.615900151,-0.912551951,1.710066051,-6.410781727,-0.845091855,-5.510463573,1,0,0,0,0
3DPANB,OPS55,6.190790743,-3.781223201,-3.802199368,1.145963772,-6.440677423,0.732942019,0.323169606,11.41599766,-2.075770646,1,0,0,0,0
3MeDPANB,OPS56,13.77524035,5.246005736,1.964643503,3.908984734,-5.14816804,-2.360208889,-0.637784742,8.733332031,-0.885162293,1,0,0,0,0
3BrDPANB,OPS57,15.89000123,-16.39013326,3.780676908,21.7764817,16.69898333,-11.62850459,-0.638462193,6.996082398,-0.034140421,1,0,0,0,9
2CzAQ,OPS58,-1.07956749,-9.002295454,-2.906636993,-5.15493071,2.759980645,8.12356654,-4.271433852,-6.63027936,-3.065963688,1,0,0,0,0
2DPAAQ,OPS59,-2.232305199,-3.652741326,-5.416603414,1.971670672,-1.653019517,7.398876039,0.526705747,1.422404225,-1.184251311,1,0,0,0,0
2DPASF,OPS60,-4.603405285,1.508578636,-6.90110968,8.153915832,3.250840098,10.69930386,0.738858597,-1.276722439,-3.121178742,1,0,0,0,0
2tBuDPASF,OPS61,17.10698614,24.08131916,2.69949841,11.80616169,6.238562117,8.356048271,-4.813657649,-0.978994597,-3.602417126,1,0,0,0,21
2MeDPASF,OPS62,1.20895921,8.104987785,-1.768379909,9.920511084,2.183259116,6.107691595,1.280727025,-2.430839638,-3.946583902,1,0,0,0,13
CF3PhDPZ,OPS63,-11.3099451,-10.90609361,19.20862321,11.57640587,-6.859120849,21.37276079,-5.472565043,-3.381792409,-6.522341182,1,0,0,0,3
OMePhDPZ,OPS64,-12.69159486,0.10214958,-1.244804833,1.668908674,-5.952415647,0.137496666,3.581916146,-4.951950788,6.494947614,1,0,0,0,0
NapDPZ,OPS65,-8.832353849,-0.378102568,-8.562182051,-3.526280828,-1.299361193,-1.378473437,3.757375173,-1.332610212,-3.120057724,1,0,0,0,0
3DPA2FBN,OPS66,7.806705387,-8.636154097,2.037997791,-2.252529864,-9.286701509,-2.80440033,3.306868528,16.22906377,-1.44121908,1,0,0,0,46
5CzBN,OPS67,33.95828033,-12.99716175,-2.900351285,-16.9553701,0.384091958,-0.166694602,-1.306579853,-4.868140646,-3.291030789,1,0,0,0,54
2DPABz,OPS68,-5.138349061,-0.756131318,-8.468906921,3.196334862,-0.146899885,12.13328269,1.371020957,2.898834543,0.666383352,1,0,0,0,24
DPABT,OPS69,-16.70574722,-0.714674079,-10.70475711,0.964666879,5.368296683,0.532334498,0.253129358,-4.71562625,0.894443149,1,0,0,0,21
PhPNZ,OPS70,-25.80434298,-2.410929083,-6.377468094,-3.5620442,-2.694244582,-0.205299149,1.161002963,0.53130453,1.620007556,1,0,0,0,10
PhPTZ,OPS71,-25.38241946,-0.488921349,-9.890210784,-2.523374165,4.333096592,-4.595767977,1.241081856,-1.010005112,-0.895882671,1,0,0,0,22
ph_bPTZ,OPS72,-19.10690031,-0.786582377,-8.158140485,-2.001450097,1.499696509,-7.225347968,2.000654215,-2.563953963,-4.54700807,1,0,0,0,40
9_10_DPA,OPS73,-16.95720343,0.935443408,-13.31190992,-8.987070479,-0.561957134,-5.284349145,-0.653769889,3.896866106,0.360023575,1,0,0,0,7
9_10_DAA,OPS74,-12.67941605,0.829764183,-4.574920776,-1.287251941,-3.941331949,-2.001302103,0.213634446,-6.228513812,5.623123875,1,0,0,0,12
perylene,OPS75,-23.86952196,-0.315246815,-11.68326486,-12.13978863,5.093331155,-3.058599162,-6.002123159,2.311574387,3.288589023,1,0,0,0,19
9_10_DCA,OPS76,-28.08854613,-6.395075364,-1.67722565,-12.66367081,5.85461595,0.497085873,-10.23754314,12.47726004,8.386393383,1,0,0,0,2
3_5_diMePh_PDI,OPS77,5.179428627,-2.717785034,10.73065744,-5.132912158,-0.677185137,1.309615124,-2.645492666,3.489868822,-12.50196071,1,0,0,0,0
Ph_NDI,OPS78,-13.01188853,-13.19921574,9.012353503,-3.821766442,-1.563877955,8.651622405,-3.649016431,6.89448431,-7.459459251,1,0,0,0,0
Me_TAPB,OPS79,-7.325835025,16.34151847,-1.748603021,7.55249014,-5.525134739,-6.9468003,3.285489245,-7.061748661,8.272193466,1,0,0,0,5
Ph_TAPB,OPS80,13.66163819,3.589816038,-14.82075368,1.451503779,1.072361784,10.9951511,9.471188818,0.532196044,1.753802151,1,0,0,0,17
C_152,OPS81,-25.15975683,-6.192743927,39.04380005,13.87228042,-17.62623024,-2.993671772,-6.002577482,3.435130011,-1.843884104,1,0,0,0,4
C_337,OPS82,-22.19687466,1.181341997,11.70001083,-0.434909267,-4.139313018,-7.15023601,-6.568624342,-1.783412817,-5.548303343,1,0,0,0,2
C_498,OPS83,-19.56449236,3.141557998,16.54572443,5.048850119,-3.600143504,-6.506651443,-6.292486999,-2.575059167,-12.05278771,1,0,0,0,0
phenylfluorone,OPS84,-18.78205831,-11.48082828,9.996169134,3.056019335,-11.9748027,-4.097060478,-10.64482846,-1.188976972,0.179619687,1,0,0,0,0
resorufin,OPS85,-28.44613913,-10.02979983,9.403157405,6.131784281,-10.02452451,-2.176585494,-11.78990716,-0.16644206,3.53417568,1,0,0,0,1
9_fluorenone,OPS86,-35.2029951,-1.380395366,-5.970851874,-10.25137315,13.09682145,11.18355508,-13.28226527,7.765685579,13.46094425,1,0,0,0,15
9_10_phenanthrenequinone,OPS87,-32.78233684,-5.641503321,0.967216072,-8.343227124,6.183108382,6.618437974,-11.55493525,9.928636199,5.806668968,1,0,0,0,0
BTPM,OPS88,-13.36735685,-2.781299535,-3.0309262,5.789655779,-4.713689582,3.467486383,-6.051140866,4.221762982,-2.270323907,1,0,0,0,2
2ClTX,OPS89,-29.25854524,-9.017087632,1.339578445,5.377529375,12.12993316,-6.664228977,-10.25162304,-0.718226195,1.251191073,1,0,0,0,20
anthraquinone,OPS90,-32.77119073,-4.888087566,-0.160959984,-5.665316361,3.975839138,8.256043178,-9.307980815,10.13519127,7.237778395,1,0,0,0,0
Me_bodipy,OPS91,-30.41780128,9.118489524,34.05579436,-14.85688138,17.80873327,9.271637495,15.64974707,1.414936281,3.139736973,1,0,0,0,0
Et_bodipy,OPS92,-22.70384612,12.56401204,32.18708058,-14.21453734,13.48175288,2.151633583,18.66921797,0.399383161,-0.617846286,1,0,0,0,0
CN_bodipy,OPS93,-24.77138345,6.171568497,38.13289736,-14.0754911,9.375232897,-0.920128392,20.24523348,3.014319688,0.567108835,1,0,0,0,0
TPP+,OPS94,-19.27000971,2.7276221,-8.845935597,0.816186805,-5.454504345,-7.087658828,1.320384573,1.304685301,-1.423997002,1,0,0,0,0
Me_TPP+,OPS95,-14.20711411,10.89272662,-3.865287486,2.766393973,-5.007892666,-9.766337087,-0.654502081,-1.070636809,-0.702220658,1,0,0,0,0
OMe_TPP+,OPS96,-12.68665485,3.993106225,1.955927174,8.165557813,-8.863010557,-4.014734214,1.248925165,-10.65640246,8.273829255,1,0,0,0,1
Acr+,OPS97,-30.6936547,8.319070655,-6.293447907,-2.378044882,4.932241152,-2.015347938,-4.58949119,-6.807977516,9.086174205,1,0,0,0,0
Acr+_Ph,OPS98,-23.27784548,4.048693474,-7.391531319,-6.524305938,0.978015676,-5.282357492,-0.434715828,-2.998332877,2.933772438,1,0,0,0,0
Acr+_Mes,OPS99,-18.42707086,11.19857019,-1.732169737,-5.426086322,0.936503703,-9.029569698,0.249496068,-5.208515429,-0.262032236,1,0,0,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.975036624,19.68589851,1.899795828,-2.322323644,-1.052616749,-11.60162539,-0.018119564,-0.712414453,-4.588762259,1,0,0,0,0
4CzIPN,OPS1,23.49173841,-13.47359805,-1.625076171,-14.17428473,-1.541972761,-2.463437118,-2.263997345,-3.252854396,-3.749309072,0,1,0,0,99
4tBuCzIPN,OPS2,60.51329903,23.60491639,10.71209662,-10.25982544,4.212249629,0.705574751,-13.93197922,-0.754102169,1.736042636,0,1,0,0,45
4MeCzIPN,OPS3,32.47239481,-2.420786344,4.028010375,-13.59671019,0.066960393,-3.848336519,-3.903321636,-3.205372921,-1.835060819,0,1,0,0,23
4BrCzIPN,OPS4,34.53328809,-28.64668635,5.808387812,6.262193908,22.8498313,-14.43487476,-2.681983354,-5.708893694,-1.479268285,0,1,0,0,98
4OMeCzIPN,OPS5,37.53851181,-12.27194441,13.29278902,-6.343567051,-8.831135041,1.681837636,2.534683342,-14.65577062,17.5236403,0,1,0,0,0
4PhCzIPN,OPS6,61.65631154,-7.083217115,-6.626979323,-12.4146307,3.222727801,11.37557589,0.753848386,-6.358333922,-0.521457604,0,1,0,0,36
4DPAIPN,OPS7,20.91820057,-5.545183428,-5.60714402,-2.845534519,-8.336980705,-3.775411973,6.289029109,12.18715758,0.280937423,0,1,0,0,98
4tBuDPAIPN,OPS8,56.85012439,29.78845117,6.930022296,3.721963893,5.605451482,5.653867112,-10.89741313,8.091390699,5.973537923,0,1,0,0,98
4MeDPAIPN,OPS9,30.52083465,5.125198591,0.862972792,-0.13564859,-5.614194962,-5.077263108,3.187904163,9.062603321,2.91073869,0,1,0,0,99
4FDPAIPN,OPS10,25.78239577,-18.19761913,13.8632135,12.98701736,-14.69444585,10.56455245,6.212030227,6.342251028,7.926973158,0,1,0,0,97
4ClDPAIPN,OPS11,27.41272334,-15.42138136,3.110434318,11.03229034,2.506135005,-4.527181485,5.560492198,7.062225257,6.266715096,0,1,0,0,99
4BrDPAIPN,OPS12,31.48922204,-19.43132318,2.526535477,19.13102439,18.40994838,-14.42740186,5.611278854,7.311671197,4.478823114,0,1,0,0,99
3CzClIPN,OPS13,11.51760277,-14.10784794,-0.033657445,-10.81915052,-1.432080632,-4.902620509,-3.711629023,-1.66562511,-4.49579855,0,1,0,0,63
3tBuCzClIPN,OPS14,40.69080374,18.96918492,10.1415713,-7.4407911,1.709576913,-4.449762918,-11.08602417,0.819855011,-0.547316626,0,1,0,0,56
3OMeCzClIPN,OPS15,22.60166485,-12.48032617,12.72115219,-4.246792411,-8.391108316,-2.362443058,1.055792356,-11.35587863,12.91144647,0,1,0,0,0
