P(E_S1) + P(E_T1),P(E_S1) + P(LUMO),P(E_S1) + P(f_S1),P(E_T1) + P(LUMO),P(E_T1) + P(f_S1),P(dDM) + P(E_S1),P(dDM) + P(E_T1),P(dDM) + P(LUMO),P(dDM) + P(dEST),P(dDM) + P(f_S1),P(dEST) + P(E_S1),P(dEST) + P(E_T1),P(dEST) + P(LUMO),P(dEST) + P(f_S1),P(f_S1) + P(LUMO),P(E_S1) / P(E_T1),P(E_S1) / P(LUMO),P(E_S1) / P(dDM),P(E_S1) / P(dEST),P(E_S1) / P(f_S1),P(E_T1) / P(E_S1),P(E_T1) / P(LUMO),P(E_T1) / P(dDM),P(E_T1) / P(dEST),P(E_T1) / P(f_S1),P(LUMO) / P(E_S1),P(LUMO) / P(E_T1),P(LUMO) / P(dDM),P(LUMO) / P(dEST),P(LUMO) / P(f_S1),P(dDM) / P(E_S1),P(dDM) / P(E_T1),P(dDM) / P(LUMO),P(dDM) / P(dEST),P(dDM) / P(f_S1),P(dEST) / P(E_S1),P(dEST) / P(E_T1),P(dEST) / P(LUMO),P(dEST) / P(dDM),P(dEST) / P(f_S1),P(f_S1) / P(E_S1),P(f_S1) / P(E_T1),P(f_S1) / P(LUMO),P(f_S1) / P(dDM),P(f_S1) / P(dEST),P(E_S1) * P(E_T1),P(E_S1) * P(LUMO),P(E_S1) * P(f_S1),P(E_T1) * P(LUMO),P(E_T1) * P(f_S1),P(dDM) * P(E_S1),P(dDM) * P(E_T1),P(dDM) * P(LUMO),P(dDM) * P(dEST),P(dDM) * P(f_S1),P(dEST) * P(E_S1),P(dEST) * P(E_T1),P(dEST) * P(LUMO),P(dEST) * P(f_S1),P(f_S1) * P(LUMO),P(E_S1) - P(E_T1),P(E_S1) - P(LUMO),P(E_S1) - P(f_S1),P(E_T1) - P(LUMO),P(E_T1) - P(f_S1),P(dDM) - P(E_S1),P(dDM) - P(E_T1),P(dDM) - P(LUMO),P(dDM) - P(dEST),P(dDM) - P(f_S1),P(dEST) - P(E_S1),P(dEST) - P(E_T1),P(dEST) - P(LUMO),P(dEST) - P(f_S1),P(f_S1) - P(LUMO)
0.6,0.42,0.7,0.6,0.88,0.89,1.07,0.89,0.8400000000000001,1.17,0.37,0.55,0.37,0.65,0.7,0.5384615384615384,1.0,0.30882352941176466,1.3125,0.42857142857142855,1.8571428571428572,1.8571428571428572,0.5735294117647058,2.4375,0.7959183673469388,1.0,0.5384615384615384,0.30882352941176466,1.3125,0.42857142857142855,3.2380952380952386,1.7435897435897436,3.2380952380952386,4.25,1.3877551020408165,0.761904761904762,0.41025641025641024,0.761904761904762,0.23529411764705882,0.326530612244898,2.3333333333333335,1.2564102564102564,2.3333333333333335,0.7205882352941175,3.0625,0.0819,0.04409999999999999,0.10289999999999999,0.0819,0.1911,0.1428,0.26520000000000005,0.1428,0.10880000000000001,0.3332,0.0336,0.062400000000000004,0.0336,0.0784,0.10289999999999999,-0.18000000000000002,0.0,-0.28,0.18000000000000002,-0.09999999999999998,0.4700000000000001,0.29000000000000004,0.4700000000000001,0.52,0.19000000000000006,-0.04999999999999999,-0.23,-0.04999999999999999,-0.32999999999999996,0.28
0.57,0.4,0.69,0.53,0.82,0.98,1.1099999999999999,0.94,0.99,1.23,0.45,0.58,0.41000000000000003,0.7,0.6499999999999999,0.6285714285714287,1.2222222222222223,0.2894736842105263,0.9565217391304347,0.46808510638297873,1.5909090909090908,1.9444444444444444,0.4605263157894737,1.5217391304347825,0.7446808510638298,0.8181818181818181,0.5142857142857143,0.23684210526315788,0.7826086956521738,0.3829787234042553,3.4545454545454546,2.1714285714285717,4.222222222222222,3.3043478260869565,1.6170212765957448,1.0454545454545454,0.6571428571428573,1.277777777777778,0.3026315789473684,0.4893617021276596,2.1363636363636362,1.342857142857143,2.611111111111111,0.6184210526315789,2.043478260869565,0.077,0.039599999999999996,0.10339999999999999,0.063,0.16449999999999998,0.16720000000000002,0.26599999999999996,0.1368,0.1748,0.35719999999999996,0.0506,0.0805,0.0414,0.1081,0.0846,-0.12999999999999998,0.04000000000000001,-0.24999999999999997,0.16999999999999998,-0.12,0.54,0.41000000000000003,0.5800000000000001,0.53,0.29000000000000004,0.010000000000000009,-0.11999999999999997,0.05000000000000002,-0.23999999999999996,0.29
1.06,0.52,0.72,0.94,1.1400000000000001,0.75,1.17,0.63,0.45999999999999996,0.8300000000000001,0.35,0.77,0.23,0.43000000000000005,0.6000000000000001,0.43243243243243246,1.5999999999999999,0.7441860465116279,10.666666666666668,0.7999999999999999,2.3125,3.6999999999999997,1.7209302325581395,24.666666666666668,1.8499999999999999,0.625,0.2702702702702703,0.4651162790697675,6.666666666666667,0.5,1.34375,0.581081081081081,2.15,14.333333333333334,1.075,0.09375,0.04054054054054054,0.15,0.06976744186046512,0.075,1.25,0.5405405405405406,2.0,0.930232558139535,13.333333333333334,0.2368,0.064,0.128,0.148,0.296,0.1376,0.3182,0.08600000000000001,0.0129,0.17200000000000001,0.0096,0.022199999999999998,0.006,0.012,0.08000000000000002,-0.42,0.12,-0.08000000000000002,0.54,0.33999999999999997,0.10999999999999999,-0.31,0.22999999999999998,0.4,0.02999999999999997,-0.29000000000000004,-0.71,-0.17,-0.37,0.2
0.9099999999999999,0.5900000000000001,0.72,0.82,0.95,1.07,1.2999999999999998,0.98,0.85,1.1099999999999999,0.46,0.69,0.37,0.5,0.63,0.5964912280701755,1.36,0.4657534246575343,2.8333333333333335,0.8947368421052632,1.676470588235294,2.28,0.7808219178082191,4.75,1.4999999999999998,0.7352941176470588,0.4385964912280702,0.3424657534246575,2.0833333333333335,0.6578947368421053,2.1470588235294117,1.280701754385965,2.92,6.083333333333333,1.9210526315789473,0.3529411764705882,0.2105263157894737,0.48,0.1643835616438356,0.3157894736842105,1.1176470588235294,0.6666666666666667,1.52,0.5205479452054794,3.166666666666667,0.1938,0.085,0.1292,0.1425,0.2166,0.2482,0.41609999999999997,0.1825,0.0876,0.2774,0.0408,0.06839999999999999,0.03,0.0456,0.095,-0.22999999999999993,0.09000000000000002,-0.03999999999999998,0.31999999999999995,0.18999999999999995,0.38999999999999996,0.16000000000000003,0.48,0.61,0.35,-0.22000000000000003,-0.44999999999999996,-0.13,-0.26,0.13
0.5700000000000001,0.47,0.56,0.7,0.79,0.9700000000000001,1.2000000000000002,1.1,0.91,1.19,0.28,0.51,0.41,0.5,0.69,0.425,0.5666666666666668,0.2125,1.5454545454545456,0.4358974358974359,2.3529411764705883,1.3333333333333335,0.5,3.6363636363636367,1.0256410256410258,1.764705882352941,0.7499999999999999,0.37499999999999994,2.727272727272727,0.7692307692307692,4.705882352941177,2.0,2.666666666666667,7.272727272727273,2.0512820512820515,0.6470588235294117,0.27499999999999997,0.3666666666666667,0.13749999999999998,0.28205128205128205,2.2941176470588234,0.975,1.3,0.4875,3.5454545454545454,0.068,0.051000000000000004,0.06630000000000001,0.12,0.15600000000000003,0.136,0.32000000000000006,0.24,0.08800000000000001,0.31200000000000006,0.0187,0.044000000000000004,0.033,0.0429,0.11699999999999999,-0.23,-0.12999999999999998,-0.22,0.10000000000000003,0.010000000000000009,0.63,0.4,0.5,0.6900000000000001,0.41000000000000003,-0.06000000000000001,-0.29000000000000004,-0.19,-0.28,0.09000000000000002
1.06,0.66,0.69,0.84,0.87,1.32,1.5,1.1,1.075,1.13,0.635,0.815,0.41500000000000004,0.445,0.47,0.7096774193548387,2.0,0.5,2.2564102564102564,1.76,1.4090909090909092,2.8181818181818183,0.7045454545454546,3.1794871794871793,2.48,0.5,0.3548387096774194,0.25,1.1282051282051282,0.88,2.0,1.4193548387096775,4.0,4.512820512820513,3.52,0.4431818181818182,0.31451612903225806,0.8863636363636364,0.2215909090909091,0.78,0.5681818181818182,0.40322580645161293,1.1363636363636365,0.2840909090909091,1.282051282051282,0.2728,0.0968,0.11,0.1364,0.155,0.3872,0.5456,0.1936,0.1716,0.22,0.0858,0.12090000000000001,0.0429,0.04875,0.055,-0.18,0.22,0.19,0.4,0.37,0.44,0.26,0.66,0.685,0.63,-0.245,-0.425,-0.024999999999999994,-0.05499999999999999,0.03
0.56,0.6699999999999999,0.48,0.75,0.56,1.1,1.18,1.29,1.18,1.1,0.56,0.64,0.75,0.56,0.6699999999999999,0.75,0.5581395348837209,0.27906976744186046,0.75,1.0,1.3333333333333335,0.7441860465116279,0.37209302325581395,1.0,1.3333333333333335,1.7916666666666667,1.34375,0.5,1.34375,1.7916666666666667,3.5833333333333335,2.6875,2.0,2.6875,3.5833333333333335,1.3333333333333335,1.0,0.7441860465116279,0.37209302325581395,1.3333333333333335,1.0,0.75,0.5581395348837209,0.27906976744186046,0.75,0.0768,0.1032,0.0576,0.1376,0.0768,0.2064,0.2752,0.36979999999999996,0.2752,0.2064,0.0768,0.1024,0.1376,0.0768,0.1032,-0.08000000000000002,-0.19,0.0,-0.10999999999999999,0.08000000000000002,0.62,0.54,0.43,0.54,0.62,0.08000000000000002,0.0,-0.10999999999999999,0.08000000000000002,-0.19
0.65,0.39,0.75,0.64,1.0,0.35,0.6,0.33999999999999997,0.24,0.7000000000000001,0.29000000000000004,0.54,0.28,0.64,0.74,0.4444444444444445,1.0526315789473684,1.3333333333333335,2.2222222222222223,0.36363636363636365,2.25,2.3684210526315788,3.0,5.0,0.8181818181818181,0.95,0.4222222222222222,1.2666666666666668,2.111111111111111,0.3454545454545454,0.7499999999999999,0.3333333333333333,0.7894736842105263,1.6666666666666667,0.2727272727272727,0.44999999999999996,0.19999999999999998,0.47368421052631576,0.6,0.1636363636363636,2.75,1.2222222222222223,2.8947368421052633,3.666666666666667,6.111111111111112,0.09000000000000001,0.038000000000000006,0.11000000000000001,0.0855,0.24750000000000003,0.03,0.0675,0.028499999999999998,0.0135,0.0825,0.018,0.0405,0.0171,0.0495,0.10450000000000001,-0.25,0.010000000000000009,-0.35000000000000003,0.26,-0.10000000000000003,-0.05000000000000002,-0.30000000000000004,-0.04000000000000001,0.06,-0.4,-0.11000000000000001,-0.36,-0.1,-0.4600000000000001,0.36000000000000004
0.27,0.44,0.5700000000000001,0.61,0.74,0.36,0.53,0.7,0.64,0.8300000000000001,0.38,0.55,0.72,0.8500000000000001,0.91,0.2272727272727273,0.12820512820512822,0.16129032258064518,0.15151515151515152,0.09615384615384616,4.3999999999999995,0.5641025641025641,0.7096774193548387,0.6666666666666666,0.4230769230769231,7.8,1.7727272727272727,1.2580645161290323,1.1818181818181819,0.75,6.199999999999999,1.4090909090909092,0.7948717948717948,0.9393939393939393,0.5961538461538461,6.6,1.5,0.8461538461538461,1.0645161290322582,0.6346153846153846,10.4,2.3636363636363638,1.3333333333333333,1.6774193548387097,1.5757575757575757,0.011000000000000001,0.019500000000000003,0.026000000000000002,0.0858,0.1144,0.0155,0.0682,0.12090000000000001,0.1023,0.1612,0.0165,0.0726,0.1287,0.1716,0.2028,-0.16999999999999998,-0.34,-0.47000000000000003,-0.17,-0.30000000000000004,0.26,0.09,-0.08000000000000002,-0.020000000000000018,-0.21000000000000002,0.28,0.11000000000000001,-0.06,-0.19,0.13
1.92,1.44,1.68,1.48,1.72,1.89,1.93,1.45,1.38,1.69,1.3699999999999999,1.41,0.9299999999999999,1.17,1.24,0.9591836734693877,1.88,0.9894736842105263,2.186046511627907,1.2702702702702702,1.0425531914893618,1.96,1.0315789473684212,2.2790697674418605,1.3243243243243243,0.5319148936170213,0.5102040816326531,0.5263157894736842,1.1627906976744187,0.6756756756756757,1.0106382978723405,0.9693877551020408,1.9,2.2093023255813953,1.2837837837837838,0.4574468085106383,0.4387755102040816,0.86,0.45263157894736844,0.581081081081081,0.7872340425531915,0.7551020408163265,1.48,0.7789473684210526,1.7209302325581395,0.9211999999999999,0.47,0.6956,0.49,0.7252,0.8929999999999999,0.9309999999999999,0.475,0.4085,0.703,0.40419999999999995,0.4214,0.215,0.3182,0.37,-0.040000000000000036,0.43999999999999995,0.19999999999999996,0.48,0.24,0.010000000000000009,-0.030000000000000027,0.44999999999999996,0.52,0.20999999999999996,-0.51,-0.55,-0.07,-0.31,0.24
