Name,ID,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2DPABP,OPS31,-2.035311226,-0.629733888,0.525635291,-4.227873183,-2.176055758,-1.010343789,0.052294752,0.348192126,-1.886515236,0.544282797,-0.899765184,0.437962868,-0.520431056,-1.147834277,-3.841089595,-2.152549949,-2.812720974,-1.786632494,1.247567391,0.079781438,1.969475523,-1.449843065,1.676884815,0.715693002,-0.911974855,-0.477249894,0.194527224,-0.218081358,0.797690341,0,0,0,0,0,0,0,1,47
2tBuDPABP,OPS32,-1.703887902,-0.152683059,-0.257848166,-4.514983251,-1.577875198,0.456070437,0.263421893,-0.455220153,-1.900081344,-0.390855059,-2.245741541,-0.261049681,-0.339271999,-1.659763132,-4.391334753,1.906919576,-4.903740185,-0.253677553,-0.219694016,-0.462118804,0.679094297,-0.813760189,4.063408451,1.5371577,1.500744455,-0.546890868,-0.204321085,-0.478998846,-0.291106798,0,0,0,0,0,0,0,1,51
2MeDPABP,OPS33,-1.386761619,-0.613637591,0.122742317,-4.879665257,-1.891835638,-0.180698023,0.107079373,0.050451968,-1.029689221,0.801868907,-0.938849106,0.359141784,-1.19811189,-1.194922013,-2.584336129,-0.883531298,-4.689008009,-1.542208542,1.362354789,-0.394475232,2.49115827,-0.784475948,2.032183705,0.13196501,-1.674571636,0.054184942,-0.486792673,-0.191213502,0.7572103,0,0,0,0,0,0,0,1,43
2ClDPABP,OPS34,-1.896639937,-0.552538545,0.053337466,-4.054600235,-1.585588563,-1.192897605,0.013716016,-0.447017049,-2.087807704,0.852634372,0.517321171,0.918843015,0.990735116,-1.15731936,-3.909136295,-1.69545358,-5.956259253,-2.524671062,-0.697308458,-0.263232931,1.477241323,-1.12400212,1.386836118,0.330655323,-1.247914897,-1.838908636,1.314489006,-0.702434058,0.006816834,0,0,0,0,0,0,0,1,47
2BrDPABP,OPS35,-1.163640158,-0.06989835,-0.182836222,-5.547331484,-1.720461994,-1.665000067,0.498319689,0.293669593,-0.337907324,0.191790513,-1.114012897,0.158196886,-0.085701908,-1.048643067,-3.229065592,-1.894652523,-5.049653598,-4.254960968,1.885483352,0.315266816,3.103350826,-1.760733454,-1.005175806,0.934691184,3.315591447,3.35908393,0.287657022,0.092533836,-2.824849092,0,0,0,0,0,0,0,1,42
2PhDPABP,OPS36,-2.280431878,-0.776305932,0.827187513,-3.617681843,-2.629340902,-1.128753638,0.098368787,0.608567029,-2.20648214,0.524239749,-1.067074453,0.376179257,-0.852842962,-2.40630821,-3.047087877,-1.389365799,-3.351040122,-1.924496314,2.099909997,0.902531739,1.434302491,-0.839539791,0.792677456,0.707114155,-1.422306492,0.07087435,0.503972627,-0.27712839,0.976344203,0,0,0,0,0,0,0,1,58
2CzPN,OPS37,-0.815727174,0.191876544,-1.881809403,2.786115262,3.619044548,-0.548610163,-0.714960627,-0.332827595,2.245940515,-1.096856436,1.046660634,0.143390589,0.012317107,-0.39740542,-2.354261233,-1.978862018,0.27929982,0.586013935,0.487496406,1.491693318,-2.468626526,1.756805832,2.767673467,-3.313959382,-1.619934375,0.571542218,1.624808022,1.378032171,-3.607949631,0,0,0,0,0,0,0,1,24
2tBuCzPN,OPS38,-0.626553108,0.765364527,-2.837551772,2.510411472,4.702180418,1.542832652,-0.734662665,-1.2210622,1.928676724,-2.180585601,-0.562046541,-1.145135874,0.483436854,-1.332047993,-2.508998106,3.691564482,-2.137998465,1.249324663,-1.452597464,1.574455552,-3.123358807,2.497223335,4.795836433,-2.811412433,2.76401841,-1.107120973,3.683464201,0.496540582,-4.272256578,0,0,0,0,0,0,0,1,56
2ClCzPN,OPS39,-0.768334394,0.317800025,-2.275562259,2.757628393,4.177945188,-0.285554955,-1.082031823,-1.42297115,1.398651195,-0.055850447,4.039018713,0.712008768,2.509719966,-0.94606566,-0.787467193,-0.605319592,-4.397014107,-0.018422072,-2.491231429,1.546078161,-2.681911456,2.302435225,2.125692085,-4.410577697,-0.285159276,-1.374636479,4.641845165,0.71674269,-4.453830619,0,0,0,0,0,0,0,1,29
1tBuDPAN,OPS40,-1.925375918,-0.791037663,-0.52738546,-0.666712943,-2.486256875,0.385829598,0.185450673,-0.012706803,-0.447895045,-3.08779563,-2.597836881,-1.371644331,0.846143859,-0.055346362,-0.245146146,4.801630408,-1.334153248,3.550893995,0.558598789,-2.365691843,-5.253894551,0.609553234,1.917039825,3.41915586,2.747913007,-2.246954145,-4.853986948,0.801973059,0.639410735,0,0,0,0,0,0,0,1,0
