Name,ID,LUMO,E_S1,f_S1,E_T1,dEST,dDM,P(dDM) * P(E_S1),P(dDM) * P(dEST),P(dEST) + P(f_S1),P(E_T1) - P(f_S1),Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
1PTZTRZ,OPS28,-0.07461,3.552,0.0001,3.4653,0.0867,8.0495,0.5829,0.0174,0.145,0.875,0,0,0,0,0,0,0,1,2
2CzBP,OPS29,-0.07263,3.7099,0.0185,3.2,0.5099,0.1285,0.1494,0.081,0.65,0.65,0,0,0,0,0,0,0,1,2
2DMABP,OPS30,-0.03296,3.8921,0.0113,3.2177,0.6744,1.3981,0.3686,0.2812,0.93,0.67,0,0,0,0,0,0,0,1,0
2DPABP,OPS31,-0.05342,3.6117,1.1705,3.0476,0.5641,2.221,0.3456,0.2544,1.42,-0.16,0,0,0,0,0,0,0,1,47
2tBuDPABP,OPS32,-0.04947,3.5525,1.2289,3.0124,0.5401,2.6577,0.3604,0.2544,1.44,-0.31,0,0,0,0,0,0,0,1,51
2MeDPABP,OPS33,-0.04943,3.5628,1.2249,3.0017,0.5611,2.8512,0.3864,0.2856,1.45,-0.31,0,0,0,0,0,0,0,1,43
2ClDPABP,OPS34,-0.06696,3.6407,1.1958,3.0588,0.5819,2.2934,0.392,0.2891,1.51,-0.16,0,0,0,0,0,0,0,1,47
2BrDPABP,OPS35,-0.06713,3.6355,1.2161,3.061,0.5745,2.2171,0.3619,0.2679,1.5,-0.16,0,0,0,0,0,0,0,1,42
2PhDPABP,OPS36,-0.05648,3.4923,1.3807,3.0058,0.4865,2.4829,0.309,0.2163,1.41,-0.35,0,0,0,0,0,0,0,1,58
2CzPN,OPS37,-0.09152,3.5246,0.1345,3.1201,0.4045,8.9235,0.5518,0.3115,0.71,0.45,0,0,0,0,0,0,0,1,24
2tBuCzPN,OPS38,-0.08754,3.3855,0.1164,3.0249,0.3606,10.6589,0.4704,0.2304,0.54,0.37,0,0,0,0,0,0,0,1,56
2ClCzPN,OPS39,-0.10735,3.5473,0.1024,3.1826,0.3647,9.5656,0.594,0.234,0.55,0.55,0,0,0,0,0,0,0,1,29
1tBuDPAN,OPS40,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7692,0.5002,0.4392,1.22,0.21,0,0,0,0,0,0,0,1,0
PNZN,OPS41,-0.04905,3.5257,0,3.3342,0.1915,0.2419,0.1449,0.0138,0.12,0.91,0,0,0,0,0,0,0,1,3
biphenylPNZN,OPS42,-0.05197,3.4578,0.0005,2.9913,0.4665,2.335,0.275,0.205,0.56,0.46,0,0,0,0,0,0,0,1,62
PTZN,OPS43,-0.04987,3.76,0.0003,3.3275,0.4325,0.14,0.1653,0.0703,0.51,0.82,0,0,0,0,0,0,0,1,1
biphenylPTZN,OPS44,-0.05224,3.6231,0.4335,3.118,0.5051,1.4197,0.304,0.176,1.11,0.12,0,0,0,0,0,0,0,1,76
CF3PTZN,OPS45,-0.0591,3.6146,0.3629,3.1037,0.5109,2.0169,0.3285,0.207,1.08,0.16,0,0,0,0,0,0,0,1,49
2DPAB,OPS46,-0.01609,3.8658,0.0227,3.291,0.5748,0,0.07125,0.0435,0.8,0.71,0,0,0,0,0,0,0,1,0
2DPAN,OPS47,-0.04474,3.4914,0.4022,2.8244,0.667,1.3985,0.2301,0.2769,1.36,-0.24,0,0,0,0,0,0,0,1,1
2tBuDPAN,OPS48,-0.04135,3.4103,0.4193,2.784,0.6263,1.6284,0.2091,0.2747,1.33,-0.28,0,0,0,0,0,0,0,1,1
2MeDPAN,OPS49,-0.04084,3.3744,0.4004,2.7522,0.6222,1.6649,0.2016,0.2772,1.3,-0.28,0,0,0,0,0,0,0,1,1
2DPAA,OPS50,-0.06945,2.9725,0.2857,2.1241,0.8484,0,0.006,0.06225,1.42,-0.46,0,0,0,0,0,0,0,1,0
2tBuDPAA,OPS51,-0.0666,2.8792,0.2813,2.1027,0.7765,0.0152,0.0119,0.1377,1.39,-0.47,0,0,0,0,0,0,0,1,0
2MeDPAA,OPS52,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0098,0.0096,0.128,1.36,-0.46,0,0,0,0,0,0,0,1,0
2OMeDPAA,OPS53,-0.0643,2.7205,0.254,2.0389,0.6816,0,0.00225,0.05625,1.29,-0.46,0,0,0,0,0,0,0,1,0
3CzNB,OPS54,-0.08754,3.4177,0.0669,3.0551,0.3626,1.2401,0.1802,0.085,0.51,0.49,0,0,0,0,0,0,0,1,0
3DPANB,OPS55,-0.06772,3.1973,0.0899,2.9176,0.2797,4.1276,0.2046,0.0806,0.41,0.24,0,0,0,0,0,0,0,1,2
3MeDPANB,OPS56,-0.05853,3.1371,0.1188,2.832,0.3051,4.7899,0.1809,0.1139,0.48,0.11,0,0,0,0,0,0,0,1,0
3BrDPANB,OPS57,-0.08203,3.2471,0.1278,2.8964,0.3507,4.726,0.2405,0.143,0.57,0.14,0,0,0,0,0,0,0,1,8
2CzAQ,OPS58,-0.1085,3.1012,0,2.7358,0.3654,0,0.01725,0.02025,0.33,0.27,0,0,0,0,0,0,0,1,0
2DPAAQ,OPS59,-0.08747,2.9778,0,2.4274,0.5504,0,0.0075,0.0375,0.56,0.14,0,0,0,0,0,0,0,1,0
2DPASF,OPS60,-0.04376,3.8676,0.907,3.2936,0.574,3.101,0.5568,0.3248,1.32,0.18,0,0,0,0,0,0,0,1,0
2tBuDPASF,OPS61,-0.03958,3.8148,0.9369,3.2521,0.5627,3.499,0.54,0.312,1.31,0.09,0,0,0,0,0,0,0,1,1
2MeDPASF,OPS62,-0.03949,3.8224,0.9468,3.2533,0.5691,3.442,0.5428,0.3245,1.36,0.08,0,0,0,0,0,0,0,1,0
CF3PhDPZ,OPS63,-0.04155,3.3175,0,2.9345,0.383,0,0.03225,0.0225,0.36,0.47,0,0,0,0,0,0,0,1,15
OMePhDPZ,OPS64,-0.01104,3.4138,0,2.897,0.5168,0,0.039,0.03525,0.53,0.44,0,0,0,0,0,0,0,1,1
NapDPZ,OPS65,-0.04408,3.3012,0,2.9882,0.313,0.1586,0.0924,0.0396,0.24,0.54,0,0,0,0,0,0,0,1,10
3DPA2FBN,OPS66,-0.0591,3.3289,0.2519,2.9793,0.3496,3.0925,0.2565,0.1197,0.74,0.05,0,0,0,0,0,0,0,1,65
5CzBN,OPS67,-0.07542,3.5356,0.2762,3.2477,0.2879,5.0308,0.4416,0.1035,0.72,0.3,0,0,0,0,0,0,0,1,79
2DPABz,OPS68,-0.06958,3.0227,0.0037,2.5871,0.4356,0.1528,0.0252,0.0798,0.55,0.09,0,0,0,0,0,0,0,1,0
DPABT,OPS69,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0169,0.5467,0.5852,1.73,-0.5,0,0,0,0,0,0,0,1,1
PhPNZ,OPS70,-0.01766,3.9776,0.035,3.3033,0.6743,0.8448,0.2772,0.2044,0.96,0.72,0,0,0,0,0,0,0,1,0
PhPTZ,OPS71,-0.02148,3.713,0.0109,3.1473,0.5657,0.3078,0.204,0.1296,0.72,0.65,0,0,0,0,0,0,0,1,0
ph_bPTZ,OPS72,-0.03323,3.7625,0.223,3.1359,0.6266,4.6753,0.5632,0.4352,1.19,0.31,0,0,0,0,0,0,0,1,7
9_10_DPA,OPS73,-0.05837,3.639,0.3496,2.3196,1.3194,0,0.05925,0.07275,1.58,-0.46,0,0,0,0,0,0,0,1,0
9_10_DAA,OPS74,-0.05504,3.6356,0.3763,2.318,1.3176,0,0.0585,0.072,1.59,-0.49,0,0,0,0,0,0,0,1,0
perylene,OPS75,-0.06947,3.196,0.791,2.0783,1.1177,0,0.02325,0.06825,1.64,-0.64,0,0,0,0,0,0,0,1,0
9_10_DCA,OPS76,-0.1128,3.2747,0.3366,2.003,1.2717,0,0.03,0.069,1.52,-0.53,0,0,0,0,0,0,0,1,0
3_5_diMePh_PDI,OPS77,-0.12449,2.7184,1.4659,1.7085,1.0099,0,0.0015,0.06375,1.85,-0.97,0,0,0,0,0,0,0,1,0
Ph_NDI,OPS78,-0.1237,3.8271,0.7675,2.544,1.2831,0,0.06975,0.0705,1.63,-0.45,0,0,0,0,0,0,0,1,9
Me_TAPB,OPS79,-0.00888,4.3833,0.0682,3.4449,0.9384,0.1445,0.2,0.168,1.11,0.72,0,0,0,0,0,0,0,1,0
Ph_TAPB,OPS80,-0.03176,3.9438,1.3806,3.285,0.6588,0.3333,0.245,0.175,1.68,-0.06,0,0,0,0,0,0,0,1,0
C_152,OPS81,-0.06891,3.7816,0.7682,2.6801,1.1015,6.0354,0.6942,0.6786,1.57,-0.41,0,0,0,0,0,0,0,1,0
C_337,OPS82,-0.07692,3.5379,1.1187,2.4312,1.1067,5.8756,0.4875,0.6675,1.74,-0.64,0,0,0,0,0,0,0,1,0
C_498,OPS83,-0.07117,3.6474,1.017,2.5708,1.0766,6.1394,0.6399,0.6794,1.69,-0.58,0,0,0,0,0,0,0,1,0
phenylfluorone,OPS84,-0.08429,3.3306,1.1776,1.9477,1.3829,1.398,0.1702,0.3663,1.89,-0.84,0,0,0,0,0,0,0,1,0
resorufin,OPS85,-0.10521,3.2432,0.9273,1.911,1.3322,2.1591,0.161,0.4508,1.76,-0.73,0,0,0,0,0,0,0,1,0
9_fluorenone,OPS86,-0.08221,3.3452,0,2.9589,0.3863,2.4829,0.24205,0.15965,0.37,0.5,0,0,0,0,0,0,0,1,2
9_10_phenanthrenequinone,OPS87,-0.10958,2.5098,0,2.113,0.3968,1.2118,0.0033,0.1122,0.4,0.06,0,0,0,0,0,0,0,1,0
BTPM,OPS88,-0.07613,3.7116,0.0017,3.2585,0.4531,0.7389,0.2268,0.1053,0.55,0.74,0,0,0,0,0,0,0,1,0
2ClTX,OPS89,-0.0767,3.8152,0,3.1183,0.6969,2.7235,0.4914,0.4158,0.83,0.74,0,0,0,0,0,0,0,1,1
anthraquinone,OPS90,-0.10275,3.2605,0,2.885,0.3755,0,0.0285,0.02175,0.35,0.4,0,0,0,0,0,0,0,1,0
Me_bodipy,OPS91,-0.08487,3.0735,0.9376,1.7646,1.3089,1.0033,0.0551,0.2755,1.75,-0.76,0,0,0,0,0,0,0,1,0
Et_bodipy,OPS92,-0.08145,2.9757,0.965,1.6996,1.2761,1.0972,0.027,0.279,1.75,-0.8,0,0,0,0,0,0,0,1,0
CN_bodipy,OPS93,-0.11186,2.7287,0.9114,1.2362,1.4925,1.9303,0.0176,0.44,1.77,-0.76,0,0,0,0,0,0,0,1,0
TPP+,OPS94,-0.22919,3.3873,0.7073,2.6833,0.704,4.4551,0.315,0.4914,1.46,-0.38,0,0,0,0,0,0,0,1,1
Me_TPP+,OPS95,-0.21834,3.2455,0.7821,2.5927,0.6528,5.2009,0.252,0.483,1.41,-0.45,0,0,0,0,0,0,0,1,2
OMe_TPP+,OPS96,-0.20514,3.0209,0.7688,2.4265,0.5944,6.3845,0.0913,0.5063,1.32,-0.52,0,0,0,0,0,0,0,1,2
Acr+,OPS97,-0.24487,3.488,0.1372,2.3724,1.1156,0.6573,0.1508,0.234,1.27,-0.19,0,0,0,0,0,0,0,1,2
Acr+_Ph,OPS98,-0.23429,3.444,0.1943,2.34,1.104,1.2426,0.189,0.308,1.34,-0.29,0,0,0,0,0,0,0,1,2
Acr+_Mes,OPS99,-0.23168,3.0716,0.0001,2.3388,0.7328,1.2019,0.0576,0.2528,0.915,0.035,0,0,0,0,0,0,0,1,1
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.20915,3.2876,0,2.4683,0.8193,1.2485,0.1476,0.2952,0.88,0.17,0,0,0,0,0,0,0,1,2
