Name,ID,SMILES,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Yield_CA,Yield_CO_a,Yield_CO_b,Yield_CO_c,Yield_CO_d,Yield_CO_e,Yield_CS,Yield_CN,Yield_ISO
C_152,OPS81,CN(C)C1=CC=C2C(OC(C=C2C(F)(F)F)=O)=C1,-0.20751,-0.06891,3.7816,0.7682,2.6801,1.1015,5.4744,0,0,0,9,7,4,0,1,
C_337,OPS82,O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1C#N,-0.20649,-0.07692,3.5379,1.1187,2.4312,1.1067,5.2209,0,0,1,6,0,2,0,23,
C_498,OPS83,O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1S(=O)(C)=O,-0.20665,-0.07117,3.6474,1.017,2.5708,1.0766,5.6988,0,0,2,2,0,0,5,18,5
phenylfluorone,OPS84,O=C1C(O)=CC(C(OC2=C3C=C(O)C(O)=C2)=C1)=C3C4=CC=CC=C4,-0.19595,-0.08429,3.3306,1.1776,1.9477,1.3829,1.8833,0,0,0,0,0,0,0,0,
resorufin,OPS85,O=C1C=CC2=NC3=C(C=C(O)C=C3)OC2=C1,-0.21805,-0.10521,3.2432,0.9273,1.911,1.3322,1.9519,0,0,0,0,0,1,0,0,
9_fluorenone,OPS86,O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,-0.2289,-0.08221,3.3452,0,2.9589,0.3863,2.8037,2,0,0,6,3,15,0,6,
9_10_phenanthrenequinone,OPS87,O=C1C2=CC=CC=C2C3=C(C=CC=C3)C1=O,-0.24277,-0.10958,2.5098,0,2.113,0.3968,1.7136,0,0,0,20,4,0,0,0,
BTPM,OPS88,O=C(C1=CC=CC=C1)C2=CC(C(C3=CC=CC=C3)=O)=CC(C(C4=CC=CC=C4)=O)=C2,-0.24919,-0.07613,3.7116,0.0017,3.2585,0.4531,0.7872,0,0,0,16,4,2,0,2,
2ClTX,OPS89,O=C1C2=C(C=CC(Cl)=C2)SC3=C1C=CC=C3,-0.22351,-0.0767,3.8152,0,3.1183,0.6969,2.4125,1,0,51,35,16,20,0,7,
anthraquinone,OPS90,O=C(C1=C2C=CC=C1)C3=C(C=CC=C3)C2=O,-0.25708,-0.10275,3.2605,0,2.885,0.3755,0,0,0,0,1,5,0,0,0,
Me_bodipy,OPS91,F[B-](N(C(C)=C1)C2=C1C)(F)[N+](C(C(C)=C3)=C2C)=C3C,-0.19705,-0.08487,3.0735,0.9376,1.7646,1.3089,1.3484,0,0,0,0,0,0,4,1,
Et_bodipy,OPS92,F[B-](N(C(C)=C1CC)C2=C1C)(F)[N+](C(C(C)=C3CC)=C2C)=C3C,-0.19047,-0.08145,2.9757,0.965,1.6996,1.2761,1.4103,0,0,0,2,0,0,3,1,
CN_bodipy,OPS93,F[B-](N(C(C)=C1C)C2=C1C)(F)[N+](C(C(C)=C3C)=C2C#N)=C3C,-0.20579,-0.11186,2.7287,0.9114,1.2362,1.4925,2.053,0,0,0,0,0,0,0,0,
TPP+,OPS94,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,-0.35572,-0.22919,3.3873,0.7073,2.6833,0.704,4.496,1,0,0,2,0,0,0,1,
Me_TPP+,OPS95,CC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)C)=CC(C4=CC=C(C=C4)C)=[O+]2,-0.33934,-0.21834,3.2455,0.7821,2.5927,0.6528,5.2347,2,0,0,3,11,0,0,0,
OMe_TPP+,OPS96,COC(C=C1)=CC=C1C2=CC(C3=CC=C(C=C3)OC)=CC(C4=CC=C(C=C4)OC)=[O+]2,-0.31605,-0.20514,3.0209,0.7688,2.4265,0.5944,6.3515,2,0,0,4,7,1,0,0,
Acr+,OPS97,C[N+]1=C(C=CC=C2)C2=CC3=CC=CC=C31,-0.37171,-0.24487,3.488,0.1372,2.3724,1.1156,0.6131,2,0,0,11,10,0,0,1,
Acr+_Ph,OPS98,C[N+]1=C(C=CC=C2)C2=C(C3=CC=CC=C3)C4=CC=CC=C41,-0.36065,-0.23429,3.444,0.1943,2.34,1.104,1.1156,2,0,0,5,4,0,0,1,
Acr+_Mes,OPS99,C[N+]1=C(C=CC=C2)C2=C(C3=C(C=C(C=C3C)C)C)C4=CC=CC=C41,-0.33825,-0.23168,3.0716,0.0001,2.3388,0.7328,1.1618,1,0,0,0,0,0,0,0,
3_6_tBu_10_ph_Acr+_Mes,OPS100,CC1=CC(C)=CC(C)=C1C2=C3C(C=C(C=C3)C(C)(C)C)=[N+](C4=CC=CC=C4)C5=CC(C(C)(C)C)=CC=C52,-0.32707,-0.20915,3.2876,0,2.4683,0.8193,1.2663,2,0,0,0,0,0,0,0,
