Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Yield
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,11.4693,-1.031563662,-0.320064087,-1.95577185,-4.380761611,-0.454974939,-1.389857968,1.118766863,0.572535205,-1.04466977,-2.687724552,0.219161731,1.970758235,-2.990887754,0.934789376,5.248330882,-0.519128142,-0.84411708,-3.211787397,-1.695268152,-0.702293206,-1.985822492,-1.513002884,-0.648910796,1.525264013,1.663913101,-0.164430865,0.050622972,-1.842982659,-0.056388853,78
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0432,-0.591436644,-0.68735951,-1.816659823,-4.558619079,-1.594025641,-1.875343933,1.546840873,0.464131593,0.290795006,-0.95489311,1.638603941,-0.295801879,-2.309273702,2.051674778,5.366796333,0.377098292,-1.941896793,-0.98017445,-3.999615571,0.142582179,-1.058134137,-0.579399434,-1.932834223,1.83409019,-1.138152865,4.176140601,0.339734038,2.487735315,-4.20712365,74
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,6.0861,-0.825336014,-0.247717339,-3.57577576,-4.187750393,7.891862707,-0.273878435,1.061539439,-0.32009524,0.147362627,1.332688426,-1.124022424,0.70105295,-0.845325536,-0.674883033,-0.414086337,1.467829331,0.416589153,0.642526232,-0.44170004,-0.38266046,1.961630349,0.676890767,-1.052217267,-0.261976593,-0.035119809,-1.906299374,-0.363041793,-3.241406563,3.18080136,75
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,7.3891,-0.733090774,0.08017473,-4.368245632,-5.613462402,8.986493338,1.61709213,-0.324517393,0.895396147,0.193000642,1.666002615,0.472263317,-0.752325647,-2.506336504,-0.729608671,-2.727341619,-4.29412772,-0.022045584,-0.074060013,0.708918976,-1.426839968,0.484117726,1.966393716,-0.038531946,0.46761721,0.625418647,2.16722717,1.331692546,-6.202599469,3.252748238,49
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,10.7946,-0.859624523,-0.140353783,-4.579292786,-5.94737867,10.27574447,0.190649022,1.222939196,-0.046106252,0.432396808,-0.014919818,-2.209527742,-2.529913038,2.64503316,-3.933669013,-0.363323147,-1.492317372,-2.967836506,-0.361067711,0.041454654,-7.05685358,5.80204407,-0.491954399,-1.569295226,-0.343719393,3.969321696,0.17339273,1.646927185,-4.446470289,2.988639687,0
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,23.532,-0.646548403,-0.248030135,-2.808429081,-2.961800348,6.066106665,-0.412428875,0.995735233,-0.378692578,0.252753881,1.384459114,-0.506088531,0.280140558,-0.456991091,0.676800928,0.154404327,2.939841194,0.759932689,1.64433491,-0.42648211,2.297558987,0.751471338,0.649428566,-0.242193084,-0.717470318,-2.459842717,-2.633434866,-1.722209188,2.272262789,-0.256206189,58
4DPAPN,OPS17,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,24.7422,-1.122441917,-0.384676581,-1.545272684,-2.954379942,-0.680721417,-1.189205277,1.043650905,0.056247103,-0.767623895,-2.087993274,1.243269555,0.125006679,-1.844980514,2.316336306,5.157249566,1.175661222,-1.932192273,-0.343303534,-0.416923269,1.336048608,-0.92277292,-1.346314478,0.040780993,0.049241818,-0.021779058,-0.59625302,-0.000998978,-0.244581331,-0.197503846,6
4CzTPN,OPS18,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0025,-0.624012269,-0.236628084,-2.68583556,-2.820393082,5.750453151,-0.373319,0.919658771,-0.343068164,0.224274092,1.256154684,-0.481151442,0.250934315,-0.412271268,0.557858741,0.100000939,2.51313231,0.621853932,1.363094295,-0.31665757,1.81315857,0.702503704,0.510944102,-0.200369104,-0.599315337,-1.77965635,-2.084181831,-1.279624913,1.357291272,0.03586267,13
4DPATPN,OPS19,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.1786,-1.042564768,-0.347349473,-1.369909433,-2.534967712,-0.583345235,-1.026258382,0.886172714,-0.007780962,-0.650058589,-1.725163419,0.997996008,0.11670643,-1.415621276,1.829961262,3.895942319,1.067477153,-1.440917813,-0.091935014,-0.213389052,1.040348414,-0.550368807,-0.982896344,0.04313072,-0.055831864,-0.06564116,-0.613486097,0.127097258,-0.04071718,0.141875183,2
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,7.781,-1.880477403,-0.459951389,-0.479531941,1.468216568,1.669601548,-1.261475852,-0.117622853,-1.300149552,-1.023626551,-0.521801498,-0.506266763,-0.106783177,0.220086448,-0.452264065,-6.589975849,2.513201795,-0.983795575,3.243321861,-0.48457781,1.675215688,-4.395986,-2.679728331,-1.92662036,0.272939607,-1.966291213,-2.915814509,-3.080789077,0.437342391,0.53879389,1
1tBuCzTRZ,OPS21,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5004,-2.086909426,-0.202878316,-1.268387955,0.47646035,2.755366034,0.652205,-1.5587937,-0.374966856,-1.138384879,-0.291420118,1.201899137,-1.413437841,-1.503292426,-0.476270236,-9.020352804,-2.735115854,-1.540640704,2.822369088,0.994861935,0.796286763,-5.934344558,-1.704484073,-1.059320856,0.680146832,-1.561669504,0.901200237,-1.418337497,-2.432732359,0.802226403,6
1DPATRZ,OPS22,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,13.9532,-2.117560112,-0.487544204,0.379497404,0.498667319,-3.345484795,-1.659010672,0.061920242,-0.722345173,-1.63376171,-2.830589233,0.880001641,-0.586759717,-0.674377787,-0.450965592,-2.914308967,0.37691702,-1.71555723,2.82211141,-1.489642607,-0.248543563,-2.96914276,-1.373358694,-2.855982315,1.81600808,-0.042311003,-1.059666328,-0.054080398,0.051153894,1.527017325,34
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.3583,-2.302047402,-0.461280597,-0.256098093,-0.049848984,-2.89042745,-0.396228145,-0.996729901,0.058624258,-2.02049383,-2.578341633,2.310415924,-1.67801804,-2.194166452,0.019209596,-4.91571637,-3.327404645,-1.666828426,2.543363518,0.732139806,-1.156341396,-4.219266874,-0.607751367,-2.096648775,0.870836117,-0.833964746,0.742301315,0.314389518,-1.188536684,1.058990322,39
1ClDPATRZ,OPS24,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.7855,-2.336761908,-0.486463304,0.044572453,-0.14835658,-2.890811904,-1.788988069,0.034319752,-0.793371682,-2.114089576,-3.546891373,-0.032086966,1.463277839,-1.713894153,-1.820860543,-3.076920429,-0.407102639,-0.863419341,0.55206627,-2.451854006,-1.79685524,-4.076731629,-2.06758116,-3.800644319,2.955504831,1.28105157,-1.324423957,0.149289359,-1.526587089,2.345683234,11
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,8.5219,-1.89663489,-0.853758727,0.183684481,-0.326214048,-4.029862606,-2.274474034,0.462393762,-0.901775294,-0.7786248,-1.814059932,1.387355244,-0.803282275,-1.032280102,-0.703975141,-2.958454978,0.489123795,-1.961199055,2.783679216,-4.756201425,-0.951979855,-3.149043274,-1.13397771,-5.084567746,3.264331008,-1.521014395,3.016147509,0.438400425,2.804130885,-1.805051564,24
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.5369,-2.378985639,-0.660802783,-0.161446261,0.275364983,-2.117384094,-1.526853931,0.150698821,-0.999290949,-1.873263563,-4.285930958,-0.172693786,-3.216256505,2.967374956,-3.065816709,-3.063747711,-0.35384373,-4.347088651,2.150930263,-0.175688954,-5.005051398,-0.779335396,-3.793471398,-3.012305627,0.477650132,2.270808887,-1.093823241,0.096106034,1.019595615,-0.173823029,12
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,12.5267,-2.119404797,-0.500752925,0.397963793,0.820130754,-3.097246457,-1.654933477,0.059722976,-0.617126022,-1.65377762,-2.86066348,0.874448661,-0.884280827,-0.314024844,-0.74905418,-2.930524752,0.000932032,-1.236442308,2.718512958,-1.795337077,-0.152162123,-3.153910722,-1.169845888,-3.095980746,1.781434562,-0.028902853,-0.922823244,-0.249225966,0.113345558,1.446499093,26
1PTZTRZ,OPS28,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,1.9025,-2.088670591,-0.74623023,0.894139616,8.629861952,1.306661359,-3.566504754,-0.68554361,-0.226626865,-0.261926892,-1.375726029,0.990855013,0.362531083,0.071782526,0.183502075,-4.408596394,1.223923191,-6.940722127,-2.14530016,-2.213955888,1.036212362,-2.290071893,0.666928313,-1.905066153,2.941150549,-2.080171111,-1.990002562,0.594997679,-0.836928202,0.906078922,2
2CzBP,OPS29,-0.20318,-0.07263,3.7099,0.0185,3.2,0.5099,4.1741,-1.572222246,-0.364203063,-0.477595629,-0.319204565,0.438728429,-0.743046653,0.540898212,-0.700944618,-0.468133906,0.330905408,-1.77015181,0.50856918,-0.284170284,1.577021908,-6.336130597,3.46093122,3.264607124,-1.427065242,-2.054513743,1.238793542,1.352464681,-0.677632673,2.574130632,-3.216440593,-1.328916637,-2.30601619,-3.578081613,-0.011506313,-0.553733763,2
2DMABP,OPS30,-0.18839,-0.03296,3.8921,0.0113,3.2177,0.6744,2.1279,-1.205684068,-0.20633584,0.831188137,-1.409350444,-4.181047121,0.562830042,1.785813423,3.615758319,-0.850782068,-1.769191638,-1.726763473,-0.818063938,-0.58547186,0.684457112,-3.363395309,1.168381397,3.779868817,-2.974456192,-4.531729474,-0.965721745,3.294067046,1.463098935,2.83189764,-1.749417033,0.4373735,-0.682803096,-0.283829729,-1.118026263,-0.711945254,0
