Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
C_337,OPS82,-0.20649,-0.07692,3.5379,1.1187,2.4312,1.1067,5.2209,-22.19687466,1.181341995,11.70001083,-0.434909199,-4.139312668,-7.150230135,-6.568587699,-1.783327779,-5.548868646,0
C_498,OPS83,-0.20665,-0.07117,3.6474,1.017,2.5708,1.0766,5.6988,-19.56449236,3.141557997,16.54572443,5.048850369,-3.600142142,-6.506650941,-6.292478269,-2.575031481,-12.05329922,0
phenylfluorone,OPS84,-0.19595,-0.08429,3.3306,1.1776,1.9477,1.3829,1.8833,-18.78205831,-11.48082828,9.996169135,3.056019591,-11.97479959,-4.097053286,-10.64478984,-1.188958553,0.178900764,0
resorufin,OPS85,-0.21805,-0.10521,3.2432,0.9273,1.911,1.3322,1.9519,-28.44613913,-10.02979983,9.403157401,6.131784481,-10.02452409,-2.176592095,-11.789921,-0.16645416,3.533977813,0
9_fluorenone,OPS86,-0.2289,-0.08221,3.3452,0,2.9589,0.3863,2.8037,-35.2029951,-1.380395366,-5.970851878,-10.25137288,13.09682156,11.18355182,-13.28227778,7.765684595,13.46061342,2
9_10_phenanthrenequinone,OPS87,-0.24277,-0.10958,2.5098,0,2.113,0.3968,1.7136,-32.78233684,-5.641503321,0.967216073,-8.343227134,6.183108132,6.618440049,-11.55493429,9.928633762,5.806667733,0
BTPM,OPS88,-0.24919,-0.07613,3.7116,0.0017,3.2585,0.4531,0.7872,-13.36735685,-2.781299536,-3.030926207,5.789656451,-4.71368507,3.467485015,-6.05112854,4.221771428,-2.271483693,0
2_Cl_TXO,OPS89,-0.22351,-0.0767,3.8152,0,3.1183,0.6969,2.4125,-29.25854524,-9.017087633,1.339578445,5.377529493,12.1299336,-6.664227209,-10.25162265,-0.71819184,1.250832195,1
anthraquinone,OPS90,-0.25708,-0.10275,3.2605,0,2.885,0.3755,0,-32.77119073,-4.888087566,-0.16095999,-5.665315917,3.975842092,8.256038412,-9.307980821,10.1351842,7.237159076,0
Me_bodipy,OPS91,-0.19705,-0.08487,3.0735,0.9376,1.7646,1.3089,1.3484,-30.41780128,9.118489525,34.05579436,-14.85688101,17.80873497,9.271631292,15.64974138,1.414945654,3.13914073,0
Et_bodipy,OPS92,-0.19047,-0.08145,2.9757,0.965,1.6996,1.2761,1.4103,-22.70384612,12.56401203,32.18708058,-14.21453745,13.48175225,2.151639876,18.66922948,0.399387109,-0.617784899,0
CN_bodipy,OPS93,-0.20579,-0.11186,2.7287,0.9114,1.2362,1.4925,2.053,-24.77138345,6.171568497,38.13289736,-14.07549115,9.375233433,-0.920125924,20.24523941,3.014307794,0.567228188,0
TPP+,OPS94,-0.35572,-0.22919,3.3873,0.7073,2.6833,0.704,4.496,-19.27000971,2.7276221,-8.845935601,0.816187125,-5.454502977,-7.087661268,1.320374417,1.304673509,-1.424403225,1
Me_TPP+,OPS95,-0.33934,-0.21834,3.2455,0.7821,2.5927,0.6528,5.2347,-14.20711411,10.89272662,-3.86528749,2.76639431,-5.007891709,-9.766340414,-0.654518659,-1.070642894,-0.702637132,2
OMe_TPP+,OPS96,-0.31605,-0.20514,3.0209,0.7688,2.4265,0.5944,6.3515,-12.68665485,3.993106225,1.955927173,8.165557906,-8.863010266,-4.014733475,1.248920825,-10.65641814,8.273709142,2
Acr+,OPS97,-0.37171,-0.24487,3.488,0.1372,2.3724,1.1156,0.6131,-30.6936547,8.319070655,-6.293447909,-2.378044775,4.932240542,-2.015351862,-4.589505591,-6.807952349,9.085942832,2
Acr+_Ph,OPS98,-0.36065,-0.23429,3.444,0.1943,2.34,1.104,1.1156,-23.27784548,4.048693474,-7.391531318,-6.524306067,0.978015216,-5.282358328,-0.434720514,-2.998323696,2.933978668,2
Acr+_Mes,OPS99,-0.33825,-0.23168,3.0716,0.0001,2.3388,0.7328,1.1618,-18.42707086,11.19857019,-1.732169737,-5.42608639,0.936503325,-9.029570495,0.249491918,-5.208481659,-0.262052226,1
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,-0.20915,3.2876,0,2.4683,0.8193,1.2663,-0.975036624,19.68589851,1.899795826,-2.322323392,-1.052615987,-11.60162763,-0.018126417,-0.712388417,-4.58924601,2
