Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,mordred_0,mordred_1,mordred_2,mordred_3,mordred_4,mordred_5,mordred_6,mordred_7,mordred_8,Yield
CF3PhDPZ,OPS63,-0.1619,-0.04155,3.3175,0,2.9345,0.383,0,-11.3099451,-10.90609361,19.20862321,11.57640587,-6.859120849,21.37276079,-5.472565043,-3.381792409,-6.522341182,15
OMePhDPZ,OPS64,-0.14485,-0.01104,3.4138,0,2.897,0.5168,0,-12.69159486,0.10214958,-1.244804833,1.668908674,-5.952415647,0.137496666,3.581916146,-4.951950788,6.494947614,1
NapDPZ,OPS65,-0.15201,-0.04408,3.3012,0,2.9882,0.313,0.1586,-8.832353849,-0.378102568,-8.562182051,-3.526280828,-1.299361193,-1.378473437,3.757375173,-1.332610212,-3.120057724,10
3DPA2FBN,OPS66,-0.18763,-0.0591,3.3289,0.2519,2.9793,0.3496,3.0925,7.806705387,-8.636154097,2.037997791,-2.252529864,-9.286701509,-2.80440033,3.306868528,16.22906377,-1.44121908,65
5CzBN,OPS67,-0.20063,-0.07542,3.5356,0.2762,3.2477,0.2879,5.0308,33.95828033,-12.99716175,-2.900351285,-16.9553701,0.384091958,-0.166694602,-1.306579853,-4.868140646,-3.291030789,79
2DPABz,OPS68,-0.19069,-0.06958,3.0227,0.0037,2.5871,0.4356,0.1528,-5.138349061,-0.756131318,-8.468906921,3.196334862,-0.146899885,12.13328269,1.371020957,2.898834543,0.666383352,0
DPABT,OPS69,-0.18556,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0169,-16.70574722,-0.714674079,-10.70475711,0.964666879,5.368296683,0.532334498,0.253129358,-4.71562625,0.894443149,1
PhPNZ,OPS70,-0.16899,-0.01766,3.9776,0.035,3.3033,0.6743,0.8448,-25.80434298,-2.410929083,-6.377468094,-3.5620442,-2.694244582,-0.205299149,1.161002963,0.53130453,1.620007556,0
PhPTZ,OPS71,-0.16887,-0.02148,3.713,0.0109,3.1473,0.5657,0.3078,-25.38241946,-0.488921349,-9.890210784,-2.523374165,4.333096592,-4.595767977,1.241081856,-1.010005112,-0.895882671,0
ph_bPTZ,OPS72,-0.17426,-0.03323,3.7625,0.223,3.1359,0.6266,4.6753,-19.10690031,-0.786582377,-8.158140485,-2.001450097,1.499696509,-7.225347968,2.000654215,-2.563953963,-4.54700807,7
9_10_DPA,OPS73,-0.1872,-0.05837,3.639,0.3496,2.3196,1.3194,0,-16.95720343,0.935443408,-13.31190992,-8.987070479,-0.561957134,-5.284349145,-0.653769889,3.896866106,0.360023575,0
9_10_DAA,OPS74,-0.18384,-0.05504,3.6356,0.3763,2.318,1.3176,0,-12.67941605,0.829764183,-4.574920776,-1.287251941,-3.941331949,-2.001302103,0.213634446,-6.228513812,5.623123875,0
perylene,OPS75,-0.18188,-0.06947,3.196,0.791,2.0783,1.1177,0,-23.86952196,-0.315246815,-11.68326486,-12.13978863,5.093331155,-3.058599162,-6.002123159,2.311574387,3.288589023,0
9_10_DCA,OPS76,-0.22657,-0.1128,3.2747,0.3366,2.003,1.2717,0,-28.08854613,-6.395075364,-1.67722565,-12.66367081,5.85461595,0.497085873,-10.23754314,12.47726004,8.386393383,0
3_5_diMePh_PDI,OPS77,-0.21763,-0.12449,2.7184,1.4659,1.7085,1.0099,0,5.179428627,-2.717785034,10.73065744,-5.132912158,-0.677185137,1.309615124,-2.645492666,3.489868822,-12.50196071,0
Ph_NDI,OPS78,-0.25262,-0.1237,3.8271,0.7675,2.544,1.2831,0,-13.01188853,-13.19921574,9.012353503,-3.821766442,-1.563877955,8.651622405,-3.649016431,6.89448431,-7.459459251,9
Me_TAPB,OPS79,-0.17326,-0.00888,4.3833,0.0682,3.4449,0.9384,0.1445,-7.325835025,16.34151847,-1.748603021,7.55249014,-5.525134739,-6.9468003,3.285489245,-7.061748661,8.272193466,0
Ph_TAPB,OPS80,-0.17898,-0.03176,3.9438,1.3806,3.285,0.6588,0.3333,13.66163819,3.589816038,-14.82075368,1.451503779,1.072361784,10.9951511,9.471188818,0.532196044,1.753802151,0
C_152,OPS81,-0.20751,-0.06891,3.7816,0.7682,2.6801,1.1015,6.0354,-25.15975683,-6.192743927,39.04380005,13.87228042,-17.62623024,-2.993671772,-6.002577482,3.435130011,-1.843884104,0
C_337,OPS82,-0.20649,-0.07692,3.5379,1.1187,2.4312,1.1067,5.8756,-22.19687466,1.181341997,11.70001083,-0.434909267,-4.139313018,-7.15023601,-6.568624342,-1.783412817,-5.548303343,0
C_498,OPS83,-0.20665,-0.07117,3.6474,1.017,2.5708,1.0766,6.1394,-19.56449236,3.141557998,16.54572443,5.048850119,-3.600143504,-6.506651443,-6.292486999,-2.575059167,-12.05278771,0
phenylfluorone,OPS84,-0.19595,-0.08429,3.3306,1.1776,1.9477,1.3829,1.398,-18.78205831,-11.48082828,9.996169134,3.056019335,-11.9748027,-4.097060478,-10.64482846,-1.188976972,0.179619687,0
resorufin,OPS85,-0.21805,-0.10521,3.2432,0.9273,1.911,1.3322,2.1591,-28.44613913,-10.02979983,9.403157405,6.131784281,-10.02452451,-2.176585494,-11.78990716,-0.16644206,3.53417568,0
9_fluorenone,OPS86,-0.2289,-0.08221,3.3452,0,2.9589,0.3863,2.4829,-35.2029951,-1.380395366,-5.970851874,-10.25137315,13.09682145,11.18355508,-13.28226527,7.765685579,13.46094425,2
9_10_phenanthrenequinone,OPS87,-0.24277,-0.10958,2.5098,0,2.113,0.3968,1.2118,-32.78233684,-5.641503321,0.967216072,-8.343227124,6.183108382,6.618437974,-11.55493525,9.928636199,5.806668968,0
BTPM,OPS88,-0.24919,-0.07613,3.7116,0.0017,3.2585,0.4531,0.7389,-13.36735685,-2.781299535,-3.0309262,5.789655779,-4.713689582,3.467486383,-6.051140866,4.221762982,-2.270323907,0
2ClTX,OPS89,-0.22351,-0.0767,3.8152,0,3.1183,0.6969,2.7235,-29.25854524,-9.017087632,1.339578445,5.377529375,12.12993316,-6.664228977,-10.25162304,-0.718226195,1.251191073,1
anthraquinone,OPS90,-0.25708,-0.10275,3.2605,0,2.885,0.3755,0,-32.77119073,-4.888087566,-0.160959984,-5.665316361,3.975839138,8.256043178,-9.307980815,10.13519127,7.237778395,0
Me_bodipy,OPS91,-0.19705,-0.08487,3.0735,0.9376,1.7646,1.3089,1.0033,-30.41780128,9.118489524,34.05579436,-14.85688138,17.80873327,9.271637495,15.64974707,1.414936281,3.139736973,0
Et_bodipy,OPS92,-0.19047,-0.08145,2.9757,0.965,1.6996,1.2761,1.0972,-22.70384612,12.56401204,32.18708058,-14.21453734,13.48175288,2.151633583,18.66921797,0.399383161,-0.617846286,0
CN_bodipy,OPS93,-0.20579,-0.11186,2.7287,0.9114,1.2362,1.4925,1.9303,-24.77138345,6.171568497,38.13289736,-14.0754911,9.375232897,-0.920128392,20.24523348,3.014319688,0.567108835,0
TPP+,OPS94,-0.35572,-0.22919,3.3873,0.7073,2.6833,0.704,4.4551,-19.27000971,2.7276221,-8.845935597,0.816186805,-5.454504345,-7.087658828,1.320384573,1.304685301,-1.423997002,1
Me_TPP+,OPS95,-0.33934,-0.21834,3.2455,0.7821,2.5927,0.6528,5.2009,-14.20711411,10.89272662,-3.865287486,2.766393973,-5.007892666,-9.766337087,-0.654502081,-1.070636809,-0.702220658,2
OMe_TPP+,OPS96,-0.31605,-0.20514,3.0209,0.7688,2.4265,0.5944,6.3845,-12.68665485,3.993106225,1.955927174,8.165557813,-8.863010557,-4.014734214,1.248925165,-10.65640246,8.273829255,2
Acr+,OPS97,-0.37171,-0.24487,3.488,0.1372,2.3724,1.1156,0.6573,-30.6936547,8.319070655,-6.293447907,-2.378044882,4.932241152,-2.015347938,-4.58949119,-6.807977516,9.086174205,2
Acr+_Ph,OPS98,-0.36065,-0.23429,3.444,0.1943,2.34,1.104,1.2426,-23.27784548,4.048693474,-7.391531319,-6.524305938,0.978015676,-5.282357492,-0.434715828,-2.998332877,2.933772438,2
Acr+_Mes,OPS99,-0.33825,-0.23168,3.0716,0.0001,2.3388,0.7328,1.2019,-18.42707086,11.19857019,-1.732169737,-5.426086322,0.936503703,-9.029569698,0.249496068,-5.208515429,-0.262032236,1
3_6_tBu_10_ph_Acr+_Mes,OPS100,-0.32707,-0.20915,3.2876,0,2.4683,0.8193,1.2485,-0.975036624,19.68589851,1.899795828,-2.322323644,-1.052616749,-11.60162539,-0.018119564,-0.712414453,-4.588762259,2
